date,machine_name,region_id,sex,sdi,baseline_days,status
2016-07-29,ETHOSCOPE_014,13,M,0,3,OK
2016-07-29,ETHOSCOPE_014,14,M,10,3,OK
2016-07-29,ETHOSCOPE_014,15,M,0,3,OK
2016-07-29,ETHOSCOPE_014,16,M,10,3,OK
2016-07-29,ETHOSCOPE_014,17,M,0,3,OK
2016-07-29,ETHOSCOPE_014,18,M,10,3,OK
2016-07-29,ETHOSCOPE_014,19,M,0,3,OK
2016-07-29,ETHOSCOPE_014,20,M,10,3,OK
2016-07-29,ETHOSCOPE_020,1,F,10,3,OK
2016-07-29,ETHOSCOPE_020,2,F,0,3,OK
2016-07-29,ETHOSCOPE_020,3,F,10,3,OK
2016-07-29,ETHOSCOPE_020,4,F,0,3,OK
2016-07-29,ETHOSCOPE_020,5,F,10,3,OK
2016-07-29,ETHOSCOPE_020,6,F,0,3,OK
2016-07-29,ETHOSCOPE_020,7,F,10,3,OK
2016-07-29,ETHOSCOPE_020,8,F,0,3,OK
2016-07-29,ETHOSCOPE_020,9,F,10,3,OK
2016-07-29,ETHOSCOPE_020,10,F,0,3,OK
2016-07-29,ETHOSCOPE_020,11,F,0,3,OK
2016-07-29,ETHOSCOPE_020,12,F,10,3,OK
2016-07-29,ETHOSCOPE_020,13,F,0,3,OK
2016-07-29,ETHOSCOPE_020,14,F,10,3,OK
2016-07-29,ETHOSCOPE_020,15,F,0,3,OK
2016-07-29,ETHOSCOPE_020,16,F,10,3,OK
2016-07-29,ETHOSCOPE_020,17,F,0,3,OK
2016-07-29,ETHOSCOPE_020,18,F,10,3,OK
2016-07-29,ETHOSCOPE_020,19,F,0,3,OK
2016-07-29,ETHOSCOPE_020,20,F,10,3,OK
2016-07-29,ETHOSCOPE_040,1,F,10,3,OK
2016-07-29,ETHOSCOPE_040,2,F,0,3,OK
2016-07-29,ETHOSCOPE_040,3,F,10,3,OK
2016-07-29,ETHOSCOPE_040,4,F,0,3,OK
2016-07-29,ETHOSCOPE_040,5,F,10,3,OK
2016-07-29,ETHOSCOPE_040,6,F,0,3,OK
2016-07-29,ETHOSCOPE_040,7,F,10,3,OK
2016-07-29,ETHOSCOPE_040,8,F,0,3,OK
2016-07-29,ETHOSCOPE_040,9,F,10,3,OK
2016-07-29,ETHOSCOPE_040,10,F,0,3,OK
2016-07-29,ETHOSCOPE_040,11,F,0,3,OK
2016-07-29,ETHOSCOPE_040,12,F,10,3,OK
2016-07-29,ETHOSCOPE_040,13,F,0,3,OK
2016-07-29,ETHOSCOPE_040,14,F,10,3,OK
2016-07-29,ETHOSCOPE_040,15,F,0,3,OK
2016-07-29,ETHOSCOPE_040,16,F,10,3,OK
2016-07-29,ETHOSCOPE_040,17,F,0,3,OK
2016-07-29,ETHOSCOPE_040,18,F,10,3,OK
2016-07-29,ETHOSCOPE_040,19,F,0,3,OK
2016-07-29,ETHOSCOPE_040,20,F,10,3,OK
2016-07-29,ETHOSCOPE_050,1,M,10,3,OK
2016-07-29,ETHOSCOPE_050,2,M,0,3,OK
2016-07-29,ETHOSCOPE_050,3,M,10,3,OK
2016-07-29,ETHOSCOPE_050,4,M,0,3,OK
2016-07-29,ETHOSCOPE_050,5,M,10,3,OK
2016-07-29,ETHOSCOPE_050,6,M,0,3,OK
2016-07-29,ETHOSCOPE_050,7,M,10,3,OK
2016-07-29,ETHOSCOPE_050,8,M,0,3,OK
2016-07-29,ETHOSCOPE_050,9,M,10,3,sex_unknown
2016-07-29,ETHOSCOPE_050,10,M,0,3,sex_unknown
2016-07-29,ETHOSCOPE_050,11,M,0,3,sex_unknown
2016-07-29,ETHOSCOPE_050,12,M,10,3,sex_unknown
2016-07-29,ETHOSCOPE_050,13,M,0,3,sex_unknown
2016-07-29,ETHOSCOPE_050,14,M,10,3,sex_unknown
2016-07-29,ETHOSCOPE_050,15,M,0,3,sex_unknown
2016-07-29,ETHOSCOPE_050,16,M,10,3,sex_unknown
2016-07-29,ETHOSCOPE_050,17,M,0,3,sex_unknown
2016-07-29,ETHOSCOPE_050,18,M,10,3,sex_unknown
2016-07-29,ETHOSCOPE_050,19,M,0,3,sex_unknown
2016-07-29,ETHOSCOPE_050,20,M,10,3,sex_unknown
